evaluation,model,noise,snr,consonant,crr
1,1,5,1,5,58.75
1,1,5,2,5,31.25
1,1,5,3,5,2.5
1,1,5,4,5,11.25
1,1,1,0,0,62.5
1,1,1,1,0,50
1,1,1,2,0,35
1,1,1,3,0,3.75
1,1,1,4,0,-3.75
1,1,1,0,1,72.5
1,1,1,1,1,48.75
1,1,1,2,1,35
1,1,1,3,1,5
1,1,1,4,1,11.25
1,1,1,0,2,72.5
1,1,1,1,2,31.25
1,1,1,2,2,10
1,1,1,3,2,-2.5
1,1,1,4,2,-2.5
1,1,1,0,3,92.5
1,1,1,1,3,88.75
1,1,1,2,3,88.75
1,1,1,3,3,42.5
1,1,1,4,3,18.75
1,1,1,0,4,58.75
1,1,1,1,4,51.25
1,1,1,2,4,15
1,1,1,3,4,10
1,1,1,4,4,-1.25
1,1,1,0,5,75
1,1,1,1,5,67.5
1,1,1,2,5,38.75
1,1,1,3,5,6.25
1,1,1,4,5,8.75
1,1,3,0,0,62.5
1,1,3,1,0,43.75
1,1,3,2,0,28.75
1,1,3,3,0,5
1,1,3,4,0,-1.25
1,1,3,0,1,72.5
1,1,3,1,1,48.75
1,1,3,2,1,28.75
1,1,3,3,1,7.5
1,1,3,4,1,1.25
1,1,3,0,2,72.5
1,1,3,1,2,27.5
1,1,3,2,2,-1.25
1,1,3,3,2,0
1,1,3,4,2,2.5
1,1,3,0,3,92.5
1,1,3,1,3,88.75
1,1,3,2,3,87.5
1,1,3,3,3,32.5
1,1,3,4,3,16.25
1,1,3,0,4,58.75
1,1,3,1,4,38.75
1,1,3,2,4,32.5
1,1,3,3,4,-1.25
1,1,3,4,4,-1.25
1,1,3,0,5,75
1,1,3,1,5,56.25
1,1,3,2,5,20
1,1,3,3,5,1.25
1,1,3,4,5,1.25
